,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
51,"a , b , c , d , e sitting in a row what is the probability that a & b sitting adjacent .",b,probability, 1 / 5 , 2 / 5 , 3 / 5 , 4 / 5 , 6 / 5 
52,"on a ranch , a rancher can place a loop of rope , called a lasso , once in every 2 throws around a cow ’ s neck . what is the probability that the rancher will be able to place a lasso around a cow ’ s neck at least once in 3 attempts ?",c,probability, 3 / 4 , 5 / 8 , 7 / 8 , 9 / 16 , 15 / 16 
53,in how many ways 3 boys and 3 girls can be seated in a row so that they are alternate .,c,probability, 144 , 288 , 36 , 256 , none 
54,"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is 1 / 6 and picking a straight flower is 1 / 2 , then what is the probability of picking a flower which is yellow and straight",d,probability, 1 / 7 , 1 / 8 , 1 / 4 , 3 / 7 , 7 / 8 
55,three 6 faced dice are thrown together . the probability that no two dice show the same number on them is,b,probability, 5 / 0 , 5 / 9 , 5 / 1 , 5 / 3 , 5 / 6 
56,"a meeting has to be conducted with 6 managers . find the number of ways in which the managers be selected from among 10 managers , if 2 managers will not attend the meeting together ?",d,probability, 120 , 110 , 105 , 140 , 135 
57,"there are 4 books on a shelf , of which 3 are paperbacks and 6 are hardbacks . how many possible selections of 4 books from this shelf include at least one paperback ?",e,probability, a ) 40 , b ) 45 , c ) 50 , d ) 55 , e ) 111 
58,three unbiased coins are tossed . what is the probability of getting at least 2 heads ?,b,probability, 1 / 4 , 1 / 2 , 1 / 3 , 1 / 8 , 1 / 6 
59,a bag contains 6 black and 8 white balls . one ball is drawn at random . what is the probability that the ball drawn is white ?,b,probability, 3 / 4 , 4 / 7 , 1 / 7 , 1 / 8 , 4 / 3 
60,three unbiased coins are tossed . what is the probability of getting at most two heads ?,d,probability, 3 / 4 , 1 / 4 , 3 / 8 , 7 / 8 , none of these 
61,two 6 faced dice are thrown together . the probability that all the three show the same number on them is ?,b,probability, 1 / 32 , 1 / 6 , 1 / 33 , 1 / 38 , 1 / 34 
62,"if x is to be chosen at random from the set { 1 , 2 , 3 , 4 } and y is to be chosen at random from the set { 5 , 6 } , what is the probability that xy will be even ?",b,probability, 1 / 6 , 1 / 3 , 1 / 2 , 2 / 3 , 5 / 6 
63,lola rolls a die 3 times . what is the probability that she gets a 4 on the last one of the 3 rolls ?,a,probability, 215 / 216 , 216 , 1 / 216 , none , 2 
64,what is the probability q of randomly selecting an arrangement of the letters of the wordmediterraneanin which the first letter is e and the last letter is r ?,c,probability, 1 / 13 , 1 / 20 , 1 / 26 , 1 / 50 , 1 / 100 
65,"two cards are drawn together from a pack of 52 cards . the probability that one is a club and other is a diamond , is :",d,probability, 29 / 34 , 47 / 100 , 3 / 20 , 13 / 102 , none of these 
66,two dice are thrown simultaneously . what is the probability of getting two numbers whose product is even ?,c,probability, 1 / 2 , 3 / 8 , 3 / 4 , 5 / 16 , 9 / 16 
67,what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular hexagon ?,d,probability, 1 / 4 , 1 / 3 , 1 / 2 , 2 / 3 , 7 / 9 
68,there are 4 red shoes & 4 green shoes . if two of red shoes are drawn what is the probability of getting red shoes,c,probability, 1 / 3 , 1 / 14 , 3 / 14 , 1 / 15 , 1 / 16 
69,a card is drawn from a pack of 52 cards . the probability of getting a queen of club or a king of heart is :,a,probability, 1 / 26 , 1 / 52 , 2 / 62 , 2 / 26 , 3 / 26 
70,"a bag contains 3 red , 4 black and 2 white balls . what is the probability of drawing a red and a white ball in two successive draws , each ball being put back after it is drawn ?",d,probability, 2 / 27 , 1 / 9 , 1 / 3 , 4 / 27 , 2 / 9 
71,"if a coin is flipped , the probability that the coin will land tails is 1 / 2 . if the coin is flipped 3 times , what is the probability that it will land tails up on the first flip and not on the last 2 flips ?",a,probability, 1 / 8 , 1 / 4 , 1 / 3 , 1 / 2 , 3 / 4 
72,"a box contains 3 red balls and 4 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?",a,probability, 7 / 4 , 1 / 2 , 1 / 2 , 5 / 8 , 2 / 3 
73,"if two integers x , y ( x > y ) are selected from - 10 to 5 ( inclusive ) , how many possible cases are there ?",b,probability, 105 , 120 , 190 , 210 , 240 
74,"a bag consists of 20 marbles , of which 5 are blue , 9 are red , and the remainder are white . if lisa is to select a marble from the bag at random , what is the probability that the marble will be red or white ?",a,probability, 3 / 4 , 2 / 4 , 1 / 4 , 1 / 8 , 1 / 16 
75,"three unbiased coins are tossed , what is the probability of ge ƫ ng at least 2 tails ?",c,probability, 1 / 3 , 1 / 6 , 1 / 2 , 1 / 8 , none of these 
76,"how many positive integers less than 300 can be formed using the numbers 1 , 2 , 3 and 5 for the digits ?",b,probability, 48 , 52 , 66 , 68 , 84 
77,"a certain junior class has 1,000 students and a certain senior class has 600 students . among these students , there are 60 siblings pairs , each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected at will be a sibling pair ?",b,probability, 3 / 40, 1 / 10, 9 / 2, 1 / 60 , 1 / 15 
78,"a question paper has 2 parts , a & b , each containing 10 questions . if a student has to choose 8 from part a & 5 from part b , in how many ways can he choose the questions ?",e,probability, 1100 , 1200 , 1235 , 1354 , 1140 
79,jane and thomas are among the 9 people from which a committee of 4 people is to be selected . how many different possible committees of 4 people can be selected from these 9 people if at least one of either jane or thomas is to be selected ?,e,probability, 67 , 73 , 79 , 85 , 91 
80,"a meeting has to be conducted with 4 managers . find the number of ways in which the managers may be selected from among 7 managers , if there are 2 managers who refuse to attend the meeting together .",c,probability, 18 , 21 , 25 , 30 , 35 
81,in how many ways 4 boys and 1 girls can be seated in a row so that they are alternate .,c,probability, 144 , 288 , 24 , 256 , none 
82,three coins are tossed . find the probability of at most 2 tails ?,d,probability, 1 / 2 , 1 / 4 , 2 / 3 , 7 / 8 , 3 / 8 
83,"if a certain coin is flipped , the probability that the coin will land heads is 1 / 2 . if the coin is flipped 6 times , what is the probability that it will land heads up on the first 3 flips but not on the last 3 flips ?",d,probability, 1 / 8 , 1 / 16 , 1 / 32 , 1 / 64 , 1 / 128 
84,what is the probability of getting exactly 4 heads in a single throw of five fair coins ?,d,probability, 1 / 4 , 3 / 8 , 3 / 16 , 5 / 32 , 7 / 32 
85,in how many ways 4 boys and 5 girls can be seated in a row so that they are alternate .,e,probability, 144 , 288 , 12 , 256 , 2880 
86,an unbaised coin is tossed until it shows up the same face in 2 consicative throws wat is the probability that the no of tosses is not more than 4 .,c,probability, 3 / 4 , 1 / 4 , 7 / 8 , 1 / 8 , 6 / 8 
87,"in a bag containing 3 balls , a white ball was placed and then 1 ball was taken out at random . what is theprobability that the extracted ball would turn onto be white , if all possible hypothesisconcerning the color of the balls that initially in the bag were equally possible ?",b,probability, 3 / 5 , 5 / 8 , 6 / 7 , 7 / 8 , 6 / 7 
88,"from a group of 3 women and 3 girls , 4 are to be randomly selected . what is the probability that equal numbers of women and girls will be selected ?",a,probability, 3 / 5 , 1 / 5 , 2 / 5 , 4 / 5 , 1 
89,what is the probability of getting at least one six in a single throw of three unbiased dice ?,e,probability, 1 / 6 , 125 / 216 , 1 / 36 , 81 / 216 , 91 / 216 
90,"from a pack of 52 cards , two cards are drawn together at random . what is the probability of both the cards being kings ?",d,probability, 1 / 15 , 25 / 57 , 35 / 256 , 1 / 221 , 2 / 15 
91,"x , y , and z are all unique numbers . if x is chosen randomly from the set { 8 , 9 , 10 , 11 } and y and z are chosen randomly from the set { 20 , 21 , 22 , 23 } , what is the probability that x and y are prime and z is not ?",a,probability, 1 / 16 , 3 / 11 , 13 / 20 , 3 / 10 , 1 / 10 
92,"a bag consists of 60 marbles , of which 5 are blue , 9 are red , and the remainder are white . if lisa is to select a marble from the bag at random , what is the probability that the marble will be red or white ?",a,probability, 11 / 12 , 2 / 4 , 1 / 4 , 1 / 8 , 1 / 16 
93,"a meeting has to be conducted with 4 managers . find the number of ways in which the managers may be selected from among 8 managers , if there are 2 managers who refuse to attend the meeting together .",b,probability, 48 , 55 , 58 , 62 , 70 
94,"when tossed , a certain coin has an equal probability of landing on either side . if the coin is tossed 4 times , what is the probability that it will land on the same side each time ?",c,probability, 1 / 4 , 1 / 6 , 1 / 8 , 1 / 12 , 1 / 16 
95,"a bag contains 10 red jellybeans and 10 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability q that all 3 jellybeans removed from the bag are blue ?",b,probability, 9 / 100 , 2 / 19 , 1 / 8 , 3 / 20 , 3 / 10 
96,two unbiased coins are tossed . what is the probability of getting two heads ?,b,probability, 1 / 2 , 1 / 4 , 2 / 3 , 1 / 5 , 2 / 7 
97,"a question paper has 2 parts , a & b , each containing 5 questions . if a student has to choose 3 from part a & 4 from part b , in how many ways can he choose the questions ?",a,probability, 50 , 100 , 152 , 150 , 55 
98,"find the probability that a number selected from numbers 1 , 2 , 3 , . . . , 50 is a prime number , when each of the given numbers is equally likely to be selected ?",b,probability, 10 / 50 , 15 / 50 , 8 / 50 , 3 / 50 , 7 / 50 
99,"a question paper has 2 parts , a & b , each containing 10 questions . if a student has to choose 5 from part a & 10 from part b , in how many ways can he choose the questions ?",e,probability, 100 , 120 , 125 , 350 , 252 
100,"a meeting has to be conducted with 5 managers . find the number of ways in which the managers be selected from among 8 managers , if 2 managers will not attend the meeting together ?",b,probability, 40 , 36 , 42 , 45 , 47 
101,"on a ranch , a rancher can place a loop of rope , called a lasso , once in every 2 throws around a cow ’ s neck . what is the probability that the rancher will be able to place a lasso around a cow ’ s neck at least once in 4 attempts ?",e,probability, 3 / 4 , 5 / 8 , 7 / 8 , 11 / 16 , 15 / 16 
102,there are 6 different travelers who each have a choice of vacationing at one of 10 different destinations . what is the probability that all 6 travelers will end up vacationing at the same destination ?,d,probability, 0.1 , 0.001 , 0.0002 , 1.0 e - 05 , 0.0001 
103,"find the probability that a number selected from numbers 1 , 2 , 3 , . . . , 20 is a prime number , when each of the given numbers is equally likely to be selected ?",c,probability, 10 / 20 , 1 / 20 , 8 / 20 , 3 / 20 , 7 / 20 
104,what is the probability of getting exactly 2 heads in a single throw of five fair coins ?,d,probability, 1 / 4 , 3 / 8 , 3 / 16 , 5 / 16 , 11 / 32 
105,"a jar contains only red , yellow , and orange marbles . if there are 3 red , 3 yellow , and 4 orange marbles , and 3 marbles are chosen from the jar at random without replacing any of them , what is the probability that 2 yellow , 1 red , and no orange marbles will be chosen ?",c,probability, 1 / 60 , 1 / 45 , 2 / 45 , 3 / 22 , 5 / 22 
106,"45 girls and 60 boys are present at a party . there are 17 girl - boy are in relationship among them . if a girl and a boy is selected at random , what is the probability that they will be a couple ?",d,probability, 1 / 200 , 1 / 100 , 90 / 2900 , 17 / 2700 , 1 / 20 
107,"a quiz has one mcq question with a , b and c as options . and two questions with true / false answers . what is the probability of giving all 3 answers correct ?",a,probability, 1 / 12 , 1 / 3 , 1 / 4 , 1 / 2 , 1 / 6 
108,"a bag contains 6 red , 2 yellow and 4 green balls . 3 balls are drawn randomly . what is the probability that the balls drawn contain balls of different colours ?",a,probability, 12 / 55 , 3 / 5 , 3 / 11 , 1 / 4 , 7 / 16 
109,"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed 3 times , what is the probability that it will land on the same side each time ?",b,probability, 1 / 8 , 1 / 4 , 1 / 3 , 3 / 8 , 1 / 2 
110,in how many ways 4 boys and 3 girls can be seated in a row so that they are alternative ?,b,probability, 120 , 144 , 160 , 210 , 180 
111,"when you draw 2 dices together , find the probability of getting a total of 6 ?",c,probability, 3 / 13 , 2 / 31 , 5 / 36 , 7 / 41 , 7 / 43 
112,"wink , inc . follows a certain procedure that requires two tasks to be finished independently in order for a job to be done . on any given day , there is a 7 / 8 probability that task 1 will be completed on time , and a 1 / 5 probability that task 2 will be completed on time . on a certain day , what is the probability that task 1 will be completed on time , but task 2 will not ?",d,probability, 1 / 20 , 3 / 40 , 13 / 40 , 7 / 10 , 13 / 22 
113,"when tossed , a certain coin has an equal probability of landing on either side . if the coin is tossed 5 times , what is the probability that it will land on the same side each time ?",d,probability, 1 / 6 , 1 / 8 , 1 / 12 , 1 / 16 , 1 / 32 
114,"x , y , and z are all unique numbers . if x is chosen randomly from the set { 5 , 6 , 7 , 8 , 9 , 10 , 11 } and y and z are chosen randomly from the set { 20 , 21 , 22 , 23 } , what is the probability that x and y are prime and z is not ?",e,probability, 1 / 5 , 3 / 20 , 1 / 7 , 2 / 15 , 3 / 28 
115,three 8 faced dice are thrown together . the probability that all the three show the same number on them is ?,d,probability, 1 / 38 , 1 / 48 , 1 / 56 , 1 / 64 , 1 / 68 
116,"set a contains 4 different positive odd integers and 6 different positive even integers . set b contains two different positive odd integers and 3 different positive even integers . if one integer from set a and one integer from set b are chosen at random , what is the probability that the product of the chosen integers is even ?",d,probability, 3 / 5 , 4 / 5 , 17 / 25 , 21 / 25 , 43 / 50 
117,two mba admissions committees are to be formed randomly from 6 second year mbas with 3 members each . what is the probability w that jane will be on the same committee as albert ?,d,probability, 12 % , 20 % , 33 % , 40 % , 50 % 
118,jane and thomas are among the 8 people from which a committee of 3 people is to be selected . how many different possible committees of 3 people can be selected from these 8 people if at least one of either jane or thomas is to be selected ?,d,probability, 24 , 28 , 32 , 36 , 40 
119,"a box contains 3 red balls and 3 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?",d,probability, 1 / 4 , 1 / 2 , 1 / 2 , 2 , 2 / 3 
120,what is the probability of getting only 1 head in a single throw of four fair coins ?,c,probability, 1 / 2 , 3 / 8 , 1 / 4 , 1 / 5 , 5 / 8 
121,"if two integers x , y ( x > y ) are selected from - 10 to 4 ( inclusive ) , how many possible cases are there ?",e,probability, 150 , 180 , 190 , 210 , 105 
122,"from a pack of 52 cards , two cards are drawn together at random . what is the probability of one is a spade and one is a heart ?",e,probability, 102 / 102 , 5 / 102 , 1 / 102 , 8 / 102 , 13 / 102 
123,four dice are thrown simultaneously . find the probability that all of them show the same face .,a,probability, 1 / 216 , 1 / 215 , 5 / 300 , 1 / 415 , 1 / 500 
124,"there are 7 red balls and 5 blue balls in a jar . if 3 balls are selected from the jar , what is the probability that 3 balls selected are red balls ?",e,probability, 19 / 44 , 5 / 44 , 3 / 41 , 13 / 44 , 7 / 44 
125,three unbiased coins are tossed . what is the probability of getting all tails ?,e,probability, 7 / 8 , 1 / 2 , 3 / 8 , 1 / 4 , 1 / 8 
126,what is the probability of getting 53 mondays in a leap year ?,b,probability, 1 / 7 , 2 / 7 , 3 / 7 , 4 / 7 , 5 / 7 
127,in how many ways 5 boys and 5 girls can be seated in a row so that boys and girls are alternate ?,e,probability, 28400 , 28500 , 28600 , 28700 , 28800 
128,"bill and jane play a simple game involving two fair dice , each of which has 6 sides numbered from 1 to 6 ( with an equal chance of landing on any side ) . bill rolls the dice and his score is the total of the two dice . jane then rolls the dice and her score is the total of her two dice . if jane ’ s score is higher than bill ’ s , she wins the game . what is the probability the jane will win the game ?",c,probability, 15 / 36 , 175 / 432 , 575 / 1296 , 583 / 1296 , 1 / 2 
129,"a string of 50 light bulbs is wired in such a way that if any individual light bulb fails , the entire string fails . if for each individual light bulb the probability of failing during time period t is 0.05 , what is the probability that the string of light bulbs will fail during the time period t ?",d,probability, 0.05 , ( 0.05 ) ^ 50 , 1 - ( 0.96 ) ^ 50 , 1 - ( 0.95 ) ^ 50 , ( 0.95 ) ^ 50 
130,"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability q that out of the two , one is white and one is blue ?",d,probability, 15 / 56 , 41 / 56 , 13 / 28 , 15 / 28 , 5 / 14 
131,6 animals of a circus has to be placed inside in 6 cages one in each cage . if 4 of the cage are too small for 6 of the animal then find the number of ways of caging the animal .,a,probability, a . 240 , b . 808250 , c . 502450 , d . 784200 , e . 302400 
132,if you throw two dice at a same time . can you find the probability of getting sum as 10 of the two numbers shown ?,c,probability, 1 / 16 , 2 / 14 , 1 / 12 , 1 / 19 , 1 / 17 
133,"how many positive integers less than 300 can be formed using the numbers 1 , 2 , 3 a for the digits ?",a,probability, 30 , 52 , 66 , 68 , 84 
134,"there is a 20 % chance sandy will visit china this year , while there is a 60 % chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?",c,probability, 40 % , 48 % , 56 % , 64 % , 72 % 
135,"a box contains 20 electric bulbs , out of which 4 are defective . two bulbs are chosen at random from this box . the probability that at least one of these is defective is",a,probability, 7 / 19 , 6 / 19 , 5 / 19 , 4 / 19 , none of these 
136,in a lottery there are 10 prizes and 25 blanks . a lottery is drawn at random . what is the probability of getting a blank ?,c,probability, 2 / 3 , 6 / 7 , 5 / 7 , 8 / 7 , 4 / 3 
137,two letters from the word khantkar are selected at random . what is the probability that at least one of the selected letters is a consonant ?,b,probability, 25 / 28 , 27 / 28 , 30 / 28 , 40 / 28 , 50 / 28 
138,persons a and b . person a picks a random no . from 1 to 1000 . then person b picks a random no . from 1 to 1000 . what is the probability of b getting no . greater then what a has picked .,b,probability, 0.3995 , 0.4995 , 0.5995 , 0.6995 , 0.7995 
139,"a certain club has 10 members , including jarry . one of the 10 members is chosen at random to be the president , one of the remaining 9 members is to be chosen at random to be the secretary , and one of the remaining 8 members is to be chosen at random to be the treasurer . what is the probability that jarry will be either the member chose to be secretary or the member chose to be treasurer ?",e,probability, 1 / 720 , 1 / 80 , 1 / 10 , 1 / 9 , 1 / 5 
