,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
71,"because he ’ s taxed by his home planet , mork pays a tax rate of 10 % on his income , while mindy pays a rate of 20 % on hers . if mindy earned 3 times as much as mork did , what was their combined tax rate ?",b,gain, 32.5 % , 17.5 % , 20 % , 36 % , 37.5 % 
72,"how much interest will $ 10,000 earn in 9 months at an annual rate of 3 % ?",e,gain, $ 250 , $ 350 , $ 450 , $ 550 , $ 225 
73,a sum of money at simple interest amounts to rs . 825 in 3 years and to rs . 854 in 4 years . the sum is ?,a,gain, rs . 738 , rs . 638 , rs . 650 , rs . 730 , rs . 735 
74,"if the personal income tax rate is lowered from 40 % to 33 % , what is the differential savings for a tax payer having an annual income before tax to the tune of $ 45000 ?",c,gain, $ 3500 , $ 5000 , $ 3150 , $ 7000 , $ 10000 
75,"the compound interest on $ 30,000 at 7 % per annum is $ 4347 . the period ( in years ) is :",a,gain, 2 , 2 1 / 2 , 3 , 4 , 5 
76,find the annual income derived by investing $ 6800 in 30 % stock at 136 .,b,gain, 550 , 1500 , 250 , 1300 , 400 
77,"daniel went to a shop and bought things worth rs . 25 , out of which 30 paise went on sales tax on taxable purchases . if the tax rate was 10 % , then what was the cost of the tax free items ?",d,gain, a ) 19.7 , b ) 20 , c ) 21.3 , d ) 21.7 , e ) 22 
78,if a person buy radio worth rs 2468 and pay 7 % sales . how much price of radio should reduce to pay only rs 2468 .,a,gain, 162 , 158 , 159 , 130 , 160 
79,what will be the ci on a sum of rs . 25000 after 3 years at the rate of 12 per year ?,c,gain, rs . 10100 , rs . 10110 , rs . 10123.20 , rs . 10135.50 , rs . 10167.20 
80,an error 4 % in excess is made while measuring the side of a square . the percentage of error in the calculated area of the square is,d,gain, 8.04 % , 8.14 % , 8.23 % , 8.16 % , 8.5 % 
81,harkamal purchased 8 kg of grapes at the rate of 70 per kg and 9 kg of mangoes at the rate of 55 per kg . how much amount did he pay to the shopkeeper ?,b,gain, 1000 , 1055 , 1065 , 1075 , 1080 
82,a 5 % stock yields 10 % . the market value of the stock is :,c,gain, rs . 56 , rs . 55 , rs . 50 , rs . 90 , rs . 75 
83,a jar full of whisky contains 30 % alcohol . a part of this whisky is replaced by another containg 19 % alcohol and now the percentage of alcohol was found to be 26 % . what quantity of whisky is replaced ?,a,gain, 1 / 3 , 2 / 3 , 2 / 5 , 3 / 5 , 4 / 5 
84,"the cost price of a radio is rs . 1900 and it was sold for rs . 1330 , find the loss % ?",c,gain, 18 % , 31 % , 30 % , 45 % , 12 % 
85,a merchant marks his goods up by 20 % and then offers a discount of 10 % on the marked price . what % profit does the merchant make after the discount ?,a,gain, 8 % , 10 % , 21 % , 15 % , 17 % 
86,a shopkeeper fixes the marked price of an item 30 % above its cost price . the percentage of discount allowed to gain 6 % is,b,gain, 18.45 % , 18.46 % , 18.47 % , 18.48 % , none of these 
87,"yesterday ' s closing prices of 2,200 different stocks listed on a certain stock exchange were all different from today ' s closing prices . the number of stocks that closed at a higher price today than yesterday was 20 percent greater than the number that closed at a lower price . how many of the stocks closed at a higher price today than yesterday ?",c,gain, 484 , 726 , 1, 1, 1
88,"mike needs 30 % to pass . if he scored 212 marks and falls short by 25 marks , what was the maximum marks he could have got ?",c,gain, 343 , 677 , 790 , 867 , 932 
89,"what profit percent is made by selling an article at a certain price , if by selling at 2 / 3 rd of that price , there would be a loss of 15 % ?",b,gain, 20 % , 27.5 % , 10 % , 80 % , 90 % 
90,machine p and machine q are each used to manufacture 880 sprockets . it takes machine p 10 hours longer to produce 880 sprockets than machine q . machine q produces 10 % more sprockets per hour than machine a . how many sprockets per hour does machine a produce ?,d,gain, 2 , 4 , 6 , 8 , 10 
91,in an examination 35 % of the students passed and 351 failed . how many students appeared for the examination ?,a,gain, a ) 540 , b ) 400 , c ) 700 , d ) 650 , e ) 840 
92,"if w is 40 percent less than q , q is 40 percent less than y , and z is 46 percent less than y , then z is greater than w by what percent of w ?",e,gain, 4 % , 18 % , 36 % , 40 % , 50 % 
93,"a particular store purchased a stock of turtleneck sweaters and marked up its cost by 20 % . during the new year season , it further marked up its prices by 25 % of the original retail price . in february , the store then offered a discount of 12 % . what was its profit on the items sold in february ?",b,gain, 27.5 % , 32 % , 35 % , 37.5 % , 40 % 
94,"a , b and c enter into partnership . a invests some money at the beginning , b invests double the amount after 6 months , and c invests thrice the amount after 8 months . if the annual gain be rs . 18600 . a ' s share is ?",d,gain, 8876 , 2765 , 6000 , 6200 , 1261 
95,"an investment yields an interest payment of $ 240 each month . if the simple annual interest rate is 9 % , what is the amount of the investment ?",e,gain, $ 28, $ 30, $ 31, $ 32, $ 32
96,"a retailer bought a machine at a wholesale price of $ 81 and later on sold it after a 10 % discount of the retail price . if the retailer made a profit equivalent to 20 % of the whole price , what is the retail price of the machine ?",b,gain, 81 , 108 , 120 , 135 , 160 
97,"what is 0.05 percent of 12,356 ?",c,gain, 0.6178 , 61.78 , 6.178 , 0.06178 , 0.006178 
98,"an article is bought for rs . 800 and sold for rs . 1200 , find the loss percent ?",e,gain, 55 % , 25.25 % , 33.33 % , 45 % , 50 % 
99,at an election 2 candidates are participated and a candidate got 45 % of votes and defeated by 9000 . and 83 votes are invalid . find the total polled votes ?,d,gain, 84512 , 78452 , 65893 , 90083 , 74502 
100,"by selling an article at rs . 800 , a shopkeeper makes a profit of 25 % . at what price should he sell the article so as to make a loss of 35 % ?",d,gain, 228 , 480 , 267 , 416 , 276 
101,the population of a town is 10000 . it increases annually at the rate of 20 % p . a . what will be its population after 4 years ?,c,gain, 20300 , 20400 , 20730 , 20500 , 20600 
102,peter brought a scooter for a certain sum of money . he spent 10 % of the cost on repairs and sold the scooter for a profit of $ 1100 . how much did he spend on repairs if he made a profit of 20 % ?,e,gain, 100 , 200 , 300 , 400 , 500 
103,"if the cost price of 19 articles is equal to the selling price of 16 articles , what is the percentage of profit or loss that the merchant makes ?",b,gain, 18.75 % loss , 18.75 % profit , 33.33 % loss , 30.33 % loss , none of these 
104,"in the manufacture of a certain product , 7 percent of the units produced are defective and 5 percent of the defective units are shipped for sale . what percent of the units produced are defective units that are shipped for sale ?",b,gain, 0.125 % , 0.35 % , 0.8 % , 1.25 % , 2.0 % 
105,the compound interest earned by sunil on a certain amount at the end of two years at the rate of 4 % p . a . was rs . 326.40 . find the total amount that sunil got back at the end of two years in the form of principal plus interest earned .,a,gain, rs . 4326.40 , rs . 4236.40 , rs . 4136.40 , rs . 4316.40 , rs . 4136.40 
106,"60 % of a number is added to 120 , the result is the same number . find the number ?",a,gain, 300 , 288 , 270 , 129 , 281 
107,a candidate got 35 % of the votes polled and he lost to his rival by 2370 votes . how many votes were cast ?,b,gain, 7500 , 7900 , 2665 , 2888 , 2661 
108,"sonika bought a v . c . r . at the list price of 18,500 . if the rate of sales tax was 8 % , find the amount she had to pay for purchasing the v . c . r .",a,gain, 19, 19, 19, 19, none of these 
109,"what profit percent is made by selling an article at a certain price , if by selling at 3 / 4 rd of that price , there would be a loss of 20 % ?",c,gain, 20 % , 29 % , 7 % , 27 % , 28 % 
110,a money lender lent rs . 1000 at 3 % per year and rs . 1400 at 3 % per year . the amount should be returned to him when the total interest comes to rs . 350 . find the number of years .,e,gain, 3.5 , 3.75 , 4 , 4.25 , 4.86 
111,"by weight , liquid x makes up 0.8 percent of solution a and 1.8 percent of solution b . if 400 grams of solution a are mixed with 700 grams of solution b , then liquid x accounts for what percent of the weight of the resulting solution ?",a,gain, 1.58 % , 1.98 % , 10 % , 15 % , 19 % 
112,"rakesh credits 15 % of his salary in his fixed deposit account and spends 30 % of the remaining amount on groceries . if the cash in hand is rs . 2380 , what is his salary ?",b,gain, rs . 3500 , rs . 4000 , rs . 4500 , rs . 5000 , none 
113,"by selling an article at rs . 400 , a profit of 60 % is made . find its cost price ?",d,gain, 228 , 267 , 287 , 250 , 811 
114,"each month a retailer sells 100 identical items . on each item he makes a profit of $ 30 that constitutes 10 % of the item ' s price to the retailer . if the retailer contemplates giving a 5 % discount on the items he sells , what is the least number of items he will have to sell each month to justify the policy of the discount ?",d,gain, 191 , 213 , 221 , 223 , 226 
115,increasing the original price of a certain item by 25 percent and then increasing the new price by 25 percent is equivalent to increasing the original price by what percent ?,e,gain, 31.25 , 37.5 , 50.0 , 52.5 , 56.25 
116,ramu bought an old car for rs . 42000 . he spent rs . 13000 on repairs and sold it for rs . 61900 . what is his profit percent ?,e,gain, 22 , 77 , 18 , 99 , 12.5 
117,increasing the original price of an article by 5 percent and then increasing the new price by 5 percent is equivalent to increasing the original price by,a,gain, 10.25 % , 12.5 % , 14.75 % , 15.15 % , 16.25 % 
118,bruce purchased 8 kg of grapes at the rate of 70 per kg and 11 kg of mangoes at the rate of 55 per kg . how much amount did he pay to the shopkeeper ?,b,gain, a ) 1040 , b ) 1165 , c ) 1055 , d ) 1065 , e ) 1075 
119,"an article is bought for rs . 600 and sold for rs . 450 , find the loss percent ?",e,gain, 16 % , 18 % , 19 % , 20 % , 25 % 
120,what percent of 10 is 10 percent of 1 ?,b,gain, 0.1 % , 1 % , 10 % , 90 % , 100 % 
121,the true discount on a bill of rs . 2160 is rs . 360 . what is the banker ' s discount ?,a,gain, rs . 432 , rs . 422 , rs . 412 , rs . 442 , none of these 
122,"if the cost price is 82 % of the selling price , then what is the profit percent ?",b,gain, 5 % , 22 % , 13 % , 21 % , 19 % 
123,"if 0.5 % of a = 85 paise , then the value of a is ?",a,gain, rs . 170 , rs . 17 , rs . 1.70 , rs . 4.25 , none 
124,"suganya and suriya are partners in a business . suganya invests rs . 15,000 for 8 months and suriya invests rs . 42,000 for 10 months . out of a profit of rs . 31,570 . suganya ' s share is",d,gain, rs . 9471 , rs . 12, rs . 18, rs . 7015.56 , none 
125,find the compound interest on $ 1200 for 5 years at 20 % p . a . if ci is component yearly ?,c,gain, $ 120 , $ 150 , $ 1786 , $ 250 , $ 300 
126,the price of rice falls by 40 % . how much rice can be bought now with the money that was sufficient to buy 20 kg of rice previously ?,e,gain, 5 kg , 15 kg , 25 kg , 30 kg , none 
127,what will be the compound interest on rs . 40000 after 3 years at the rate of 12 % per annum,c,gain, rs 16123.20 , rs 16123.30 , rs 16197.12 , rs 16123.50 , none of these 
128,a man is walking at the rate of 7 km / hr crosses a bridge in 15 minutes . the length of the bridge is,d,gain, 1000 meters , 1050 meters , 1200 meters , 1750 meters , none of these 
129,compound interest of rs . 1000 at 10 % per annum for 1 1 / 2 years will be ( interest compounded half yearly ) .,d,gain, rs . 473 , rs . 374 , rs . 495 , rs . 157 , none of the above 
130,"a is a working partner and b is a sleeping partner in the business . a puts in rs . 3500 and b rs . 1500 , a receives 10 % of the profit for managing the business the rest being divided in proportion of their capitals . out of a total profit of rs . 9600 , money received by a is ?",d,gain, 1978 , 2707 , 7728 , 7008 , 7291 
131,"after 10 % of the inhabitants of a village disappeared , a panic set in during which 25 % of the remaining inhabitants left the village . at that time , the population was reduced to 4725 . what was the number of original inhabitants ?",b,gain, 5000 , 7000 , 4000 , 8000 , 9000 
132,a and b invests rs . 3000 and rs . 6500 respectively in a business . if a doubles his capital after 6 months . in what ratio should a and b divide that year ' s profit ?,e,gain, 8 : 8 , 9 : 8 , 9 : 6 , 9 : 5 , 9 : 13 
133,"a ladder 14 feet long is leaning against a wall that is perpendicular to level ground . the bottom of the ladder is 5 feet from the base of the wall . if the top of the ladder slips down 4 feet , how many feet will the bottom of the ladder slip ?",d,gain, 4 , 5 , 8 , 10.72 , 15 
134,find the simple interest on rs . 78000 at 15 ( 2 / 5 ) % per annum for 9 months .,a,gain, rs . 9009 , rs . 9008 , rs . 9002 , rs . 9202 , rs . 9001 
135,"a survey of employers found that during 1993 employment costs rose 3.5 percent , where employment costs consist of salary costs and fringe - benefit costs . if salary costs rose 3 percent and fringe - benefit costs rose 6.5 percent during 1993 , then fringe - benefit costs represented what percent of employment costs at the beginning of 1993 ?",b,gain, 16.5 % , 14 % , 35 % , 55 % , 65 % 
136,"from january 1 , 2015 , to january 1 , 2017 , the number of people enrolled in health maintenance organizations increased by 12 percent . the enrollment on january 1 , 2017 , was 45 million . how many million people , to the nearest million , were enrolled in health maintenance organizations on january 1 , 2015 ?",c,gain, 38 , 39 , 40 , 41 , 42 
137,andrew purchased 14 kg of grapes at the rate of 54 per kg and 10 kg of mangoes at the rate of 62 per kg . how much amount did he pay to the shopkeeper ?,b,gain, 1000 , 1376 , 1456 , 1900 , 1566 
138,what will be the fraction of 30 %,c,gain, 1 / 4 , 1 / 5 , 3 / 10 , 1 / 11 , none of above 
139,what will be the difference between simple and compound interest at 8 % per annum on a sum of rs . 1000 after 4 years ?,c,gain, 64.19 , 64.12 , 40.5 , 64.1 , 64.11 
140,"the cost of an article is decreased by 20 % . if the original cost is $ 120 , find the decrease cost .",c,gain, 33 , 11 , 96 , 36 , 91 
141,sonika deposited rs . 12000 which amounted to rs . 19500 after 4 years at simple interest . had the interest been 3 % more . she would get how much ?,a,gain, 20940 , 21009 , 23000 , 23450 , 30000 
142,"a watch was sold at a loss of 10 % . if it was sold for rs . 168 more , there would have been a gain of 4 % . what is the cost price ?",c,gain, s : 1000 , s : 1067 , s : 1200 , s : 1028 , s : 1027 
143,"a started a business with an investment of rs . 70000 and after 6 months b joined him investing rs . 120000 . if the profit at the end of a year is rs . 52000 , then the share of a is ?",b,gain, s . 28028 , s . 28000 , s . 28003 , s . 28029 , s . 24029 
144,"in town p , 60 percent of the population are employed , and 42 percent of the population are employed males . what percent of the employed people in town p are females ?",c,gain, 20 % , 25 % , 30 % , 35 % , 40 % 
145,"each of the integers from 0 to 9 , inclusive , is written on a separate slip of blank paper and the ten slips are dropped into a hat . if 5 of the slips are the drawn , without replacement , what is the probability that all 5 have a odd number written on it ?",a,gain, 1 / 12 , 1 / 10 , 1 / 8 , 1 / 24 , 5 / 9 
146,"a particular library has 75 books in a special collection , all of which were in the library at the beginning of the month . these book are occasionally loaned out through an inter - library program . if , by the end of the month , 70 percent of books that were loaned out are returned and there are 60 books in the special collection at that time , how many books of the special collection were loaned out during that month ?",e,gain, 20 , 30 , 35 , 40 , 50 
147,"if it is assumed that 60 percent of those who receive a questionnaire by mail will respond and 750 responses are needed , what is the minimum number of questionnaires that should be mailed ?",d,gain, 1160 , 1190 , 1220 , 1250 , 1280 
