,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
11,"if a bicyclist in motion increases his speed by 30 percent and then increases this speed by 10 percent , what percent of the original speed is the total increase in speed ?",c,general, 10 % , 40 % , 43 % , 64 % , 140 % 
12,"what is the greatest number that divides 263 , 935 and 1383 leaving a remainder of 7 in each case ?",c,general, 30 , 31 , 32 , 35 , 37 
13,find the average of all the numbers between 6 and 38 which are divisible by 4 .,b,general, 18 , 22 , 20 , 30 , 28 
14,"a man has some hens and cows . if the number of heads be 50 and the number of feet equals 144 , then the number of hens will be",e,general, 22 , 24 , 26 , 20 , 28 
15,"if p / q = 4 / 5 , then the value of 11 / 7 + { ( 2 q - p ) / ( 2 q + p ) } is ?",d,general, 3 / 7 , 34 , 1 , 2 , 3 
16,"if x ^ 2 + y ^ 2 = 13 and xy = 3 , then ( x − y ) ^ 2 =",a,general, 7 , 11 , 14 , 17 , 20 
17,"a big container is 40 % full with water . if 14 liters of water is added , the container becomes 3 / 4 full . what is the capacity of the big container in liters ?",c,general, 32 , 36 , 40 , 44 , 48 
18,"the total cost of a vacation was divided among 3 people . if the total cost of the vacation had been divided equally among 5 people , the cost per person would have been $ 50 less . what was the total cost cost of the vacation ?",b,general, $ 200 , $ 375 , $ 400 , $ 500 , $ 600 
19,"if y > 0 , ( 1 y ) / 20 + ( 3 y ) / 10 is what percent of y ?",a,general, 35 % , 50 % , 60 % , 70 % , 80 % 
20,"of the 17,210 employees of the anvil factory , 2 / 7 are journeymen . if half of the journeymen were laid off , what percentage of the total remaining employees would be journeymen ?",d,general, 14.3 % , 16.67 % , 33 % , 28.6 % , 49.67 % 
21,"for every even positive integer m , f ( m ) represents the product of all even integers from 2 to m , inclusive . for example , f ( 12 ) = 2 x 4 x 6 x 8 x 10 x 12 . what is the greatest prime factor of f ( 36 ) ?",d,general, 2 , 5 , 11 , 17 , 23 
22,what is the positive difference between the sum of the squares of the first 8 positive integers and the sum of the prime numbers between the first square and fourth square ?,c,general, 161 , 162 , 163 , 164 , 165 
23,"the average age of 19 persons in a office is 15 years . out of these , the average age of 5 of them is 14 years and that of the other 9 persons is 16 years . the age of the 15 th person is ?",b,general, 9 , 71 , 85 , 92 , 90 
24,calculate the ratio between x and y if 25 % of x equal to 40 % of y ?,a,general, 5 : 8 , 5 : 9 , 5 : 7 , 5 : 6 , 5 : 4 
25,. 003 / ? = . 01,a,general, . 3 , . 09 , . 009 , . 0009 , none of them 
26,"if √ 10 = 3.16 , find the value of if √ 5 / 2",b,general, 1.3 , 1.58 , 2.03 , 2.15 , 3.15 
27,"carrie likes to buy t - shirts at the local clothing store . they cost $ 9.65 each . one day , she bought 12 t - shirts . how much money did she spend ?",a,general, $ 115.8 , $ 248.75 , $ 200 , $ 171.6 , $ 190 
28,"a sporting goods store sold 64 frisbees in one week , some for $ 3 and the rest for $ 4 each . if receipts from frisbee sales for the week totaled $ 204 , what is the fewest number of $ 3 frisbees that could have been sold ?",d,general, 24 , 12 , 8 , 52 , 2 
29,how many 1 / 10 s are there in 37 1 / 2 ?,a,general, 375 , 475 , 500 , 670 , 700 
30,"how many different values of positive integer x , for which | x + 9 | < x , are there ?",c,general, 0 , 2 , 3 , 8 , 16 
31,if the average of 10 consecutive integers is 21.5 then the 10 th integer is : -,d,general, 15 , 20 , 23 , 26 , 25 
32,"in a box of 8 pens , a total of 3 are defective . if a customer buys 2 pens selected at random from the box , what is the probability that neither pen will be defective ?",d,general, 2 / 10 , 3 / 11 , 4 / 13 , 5 / 14 , 6 / 17 
33,"each week a restaurant serving mexican food uses the same volume of chili paste , which comes in either 55 - ounce cans or 15 - ounce cans of chili paste . if the restaurant must order 30 more of the smaller cans than the larger cans to fulfill its weekly needs , then how many larger cans are required to fulfill its weekly needs ?",a,general, 15 , 28 , 18 , 24 , 21 
34,"for any positive integer n , the sum of the first n positive integers equals n ( n + 1 ) / 2 . what is the sum of all the even integers between 99 and 181 ?",b,general, 3820 , 5740 , 6580 , 7360 , 9200 
35,"a salesman â € ™ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1000 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 800 more than that by the previous schema , his sales were worth ?",a,general, s . 4, s . 12, s . 30, s . 40, s . 50
36,"if k is an integer and 0.0010101 x 10 ^ k is greater than 10 , what is the least possible value of k ?",c,general, 2 , 3 , 4 , 5 , 6 
37,"if a and b are positive integers and ( 3 ^ a ) ^ b = 3 ^ 3 , what is the value of 3 ^ a * 3 ^ b ?",c,general, 3 , 9 , 81 , 27 , 243 
38,a number exceeds by 35 from its 3 / 8 part . then the number is ?,a,general, a ) 56 , b ) 35 , c ) 39 , d ) 40 , e ) 45 
39,"if 0.75 : x : : 5 : 6 , then x is equal to :",d,general, 1.12 , 1.16 , 1.2 , 0.9 , none of these 
40,"in the coordinate plane , line a has a slope of - 1 and an x - intercept of 1 . line b has a slope of 4 and a y - intercept of - 4 . if the two lines intersect at the point ( a , b ) , what is the sum a + b ?",b,general, 0 , 1 , 2 , 3 , 4 
41,a car travels from point a to point b . the average speed of the car is 60 km / hr and it travels the first half of the trip at a speed of 80 km / hr . what is the speed of the car in the second half of the trip ?,d,general, 40 , 42 , 45 , 48 , 50 
42,the sum of the first 50 positive even integers is 2550 . what is the sum of the even integers from 602 to 700 inclusive ?,c,general, 24, 28, 32, 36, 40
43,the average runs scored by a batsman in 10 matches is 40 . in the next 10 matches the batsman scored an average of 30 runs . find his average in all the 20 matches ?,b,general, 31 , 35 , 88 , 13 , 12 
44,there are 300 giraffes at a large zoo . the number of giraffes is 3 times the number of all the other animals combined . how many more giraffes are there than non giraffes animals at the zoo ?,d,general, 400 , 360 , 300 , 290 , 200 
45,"bucket a is 1 / 4 full of sand , and bucket b , which has one - half the capacity of bucket a , is 3 / 8 full of sand . jana pours the contents of bucket b into bucket a . bucket a is now filled to what fraction of its capacity ?",b,general, 3 / 8 , 7 / 16 , 1 / 2 , 5 / 8 , 7 / 8 
46,"if n is an integer , f ( n ) = f ( n - 1 ) - n and f ( 4 ) = 15 . what is the value of f ( 6 ) ?",a,general, 4 , 0 , 1 , 2 , 24 
47,"a salesman ’ s terms were changed from a flat commission of 5 % on all his sales to a fixed salary of rs . 1100 plus 2.5 % commission on all sales exceeding rs . 4,000 . if his remuneration as per new scheme was rs . 600 more than that by the previous schema , his sales were worth ?",a,general, 14000 , 12000 , 12019 , 12197 , 12012 
48,andy solves problems 78 to 125 inclusive in a math exercise . how many problems does he solve ?,e,general, 53 , 52 , 51 , 50 , 48 
49,"a fair 2 sided coin is flipped 3 times . what is the probability that tails will be the result at least twice , but not more than 3 times ?",c,general, 5 / 8 , 3 / 4 , 3 / 8 , 7 / 4 , 5 / 6 
50,a ' and ' b ' are positive integers such that their lcm is 20 and their hcf is 1 . what is the addition of the maximum and minimum possible values of ' a + b ' ?,c,general, 21 , 34 , 30 , 25 , 12 
51,3 / 5 of all married couples have more than one child . 2 / 5 of all married couples have more than 3 children . what fraction of all married couples have 2 or 3 children ?,a,general, 1 / 5 , 1 / 4 , 7 / 20 , 3 / 5 , it can not be determined from the given information . 
52,"if 2 ^ 2 n + 2 ^ 2 n + 2 ^ 2 n + 2 ^ 2 n = 4 ^ 18 , then n =",c,general, 3 , 6 , 17 , 23 , 24 
53,"in cliff ’ s impressive rock collection , there are half as many igneous rocks as sedimentary rocks . of the igneous rocks , 3 / 4 are shiny and the rest are matte , while 1 / 5 of the sedimentary rocks are shiny . if there are 30 shiny igneous rocks , how many total rocks does cliff have ?",d,general, 30 , 45 , 60 , 120 , 135 
54,"what is the sum of the numbers between 1 and 12 , inclusive ?",d,general, 99 , 65 , 79 , 78 , 80 
55,a car traveled 35 % of the way from town x to town y at an average speed of 35 mph . the car traveled at an average speed of v mph for the remaining part of the trip . the average speed for the entire trip was 50 mph . what is v in mph ?,b,general, 45 , 65 , 55 , 75 , 85 
56,"hammers and wrenches are manufactured at a uniform weight per hammer and a uniform weight per wrench . if the total weight of two hammers and two wrenches is one - third that of 8 hammers and 5 wrenches , then the total weight of one wrench is how many times that of one hammer ?",e,general, 1 / 2 , 2 / 3 , 1 , 3 / 2 , 2 
57,"in an examination , 25 % of total students failed in hindi , 40 % failed in english and 35 % in both . the percentage of these who passed in both the subjects is :",c,general, 10 % , 20 % , 30 % , 40 % , 50 % 
58,"the total circumference of two circles is 49 . if the first circle has a circumference that is exactly twice the circumference of the second circle , then what is the approximate sum of their two radii ?",a,general, 7.8 , 6.0 , 6.7 , 9.7 , 18.0 
59,a certain pair of used shoes can be repaired for $ 10.50 and will last for 1 year . a pair of the same kind of shoes can be purchased new for $ 30.00 and will last for 2 years . the average cost per year of the new shoes is what percent greater than the cost of repairing the used shoes ?,a,general, 42.85 , 44 , 48 , 38 , 40 
60,what is the 26 th digit to the right of the decimal point in the decimal form of 6 / 11 ?,b,general, 3 , 4 , 5 , 6 , 7 
61,solve below question 2 x + 1 = - 21,a,general, - 11 , - 9 , 9 , 8 , - 7 
62,solution for 2.12 + . 004 + . 345,c,general, 2.91 , 2.911 , 2.469 , 2.586 , 2.499 
63,"how many paying stones , each measuring 2 1 / 2 m * 2 m are required to pave a rectangular court yard 30 m long and 16 1 / 2 m board ?",b,general, 90 , 99 , 97 , 95 , 65 
64,20 liters of a mixture is created by mixing liquid p and liquid q in the ratio 3 : 2 . how many liters of liquid q must be added to make the ratio 4 : 3 ?,a,general, 1 , 3 , 5 , 7 , 9 
65,"in a fuel station the service costs $ 1.75 per car , every liter of fuel costs 0.65 $ . assuming that a company owns 12 cars and that every fuel tank contains 45 liters and they are all empty , how much money total will it cost to fuel all cars ?",b,general, 320 $ , 372 $ , 420 $ , 450 $ , 480 $ 
66,tickets numbered from 1 to 26 are mixed and then a ticket is selected randomly . what is the probability that the selected ticket bears a number which is a multiple of 3 ?,d,general, 1 / 5 , 2 / 5 , 3 / 10 , 4 / 13 , 1 / 7 
67,"a certain list consists of 21 different numbers . if n is in the list and n is 7 times the average ( arithmetic mean ) of the other 20 numbers in the list , then n is what fraction of the sum of the 21 numbers in the list ?",a,general, 7 / 27 , 1 / 6 , 1 / 5 , 4 / 21 , 5 / 21 
68,in a boat there are 8 men whose average weight is increased by 1 kg when 1 man of 60 kg is replaced by a new man . what is weight of new comer ?,c,general, 70 , 66 , 68 , 69 , 72 
69,"if the probability of rain on any given day in chicago during the summer is 50 % , independent of what happens on any other day , what is the probability of having exactly 3 rainy days from july 4 through july 7 , inclusive ?",a,general, 1 / 4 , 1 / 8 , 3 / 8 , 3 / 16 , 5 / 16 
70,every year an amount increases by 1 / 8 th of itself . how much will it be after two years if its present value is rs . 51200 ?,e,general, 81000 , 81028 , 27772 , 29889 , 64800 
71,"set s contains exactly 10 numbers and has an average ( arithmetic mean ) of 6.2 . if one of the numbers in set s is increased by 4 , while all other numbers remain the same , what is the new average of set s ?",a,general, 6.6 , 6.7 , 6.8 , 6.85 , 6.9 
72,how many numbers are divisible by 4 between 1 and 100 .,a,general, 24 , 23 , 22 , 21 , 25 
73,"if a person walks at 14 km / hr instead of 10 km / hr , he would have walked 20 km more . what is the actual distance travelled by him ?",d,general, 33 , 11 , 38 , 50 , 12 
74,"arjun started a business with rs . 40,000 and is joined afterwards by anoop with rs . 80 , 000 . after how many months did anoop join if the profits at the end of the year are divided equally ?",d,general, 3 , 4 , 5 , 6 , 7 
75,5555 × 9999 = ?,e,general, 55500005 , 55511115 , 55522225 , 55533335 , 55544445 
76,1397 x 1397 = ?,b,general, 1951607 , 1951609 , 1951610 , 1951611 , 1951613 
77,"if 5 < x < 11 and y = x + 6 , what is the greatest possible integer value of x + y ?",c,general, 25 , 26 , 27 , 28 , 29 
78,"a worker ' s take - home pay last year was the same each month , and she saved the same fraction of her take - home pay each month . the total amount of money that she had saved at the end of the year was 5 times the amount of that portion of her monthly take - home pay that she did not save . if all the money that she saved last year was from her take - home pay , what fraction of her take - home pay did she save each month ?",c,general, 2 / 11 , 3 / 14 , 5 / 17 , 7 / 20 , 11 / 30 
79,"if the sum of two numbers is 55 and the h . c . f and l . c . m of these numbers are 5 and 120 respectively , then the sum of the reciprocal of the numbers is equal to :",c,general, 55 / 601 , 601 / 55 , 11 / 120 , 120 / 11 , 120 / 13 
80,"the cost of registration at a professional association meeting was $ 50 per person ; a lunch for registrants only was available for an additional $ 22 per person . if the number of registrants who paid for lunch was 50 more than the number who did not , and if receipts for registration and lunch totaled $ 82,900 , how many people paid just for registration at the meeting ?",b,general, 700 , 650 , 1, 1, 1
81,the unit digit in the product ( 594 * 897 * 929 * 462 ) is :,d,general, 2 , 5 , 6 , 4 , 10 
82,how many times will the digit 8 be written when listing the integers from 1 to 1000 ?,c,general, 164 , 297 , 300 , 345 , 482 
83,"on dividing 136 by a number , the quotient is 9 and the remainder is 1 . find the divisor ?",b,general, a ) 12 , b ) 15 , c ) 16 , d ) 17 , e ) 18 
84,a 72 gallon solution of salt and water is 10 % salt . how many gallons of water must be added to the solution in order to decrease the salt to 8 % of the volume ?,c,general, 8 , 12 , 18 , 14 , 16 
85,the simple interest on a sum of money will be rs . 600 after 10 years . if the principal is trebled after 5 years what will be the total interest at the end of the tenth year ?,c,general, 8981 , 3799 , 1200 , 2693 , 1732 
86,what least number must be subtracted from 427751 so that remaining no . is divisible by 10,b,general, 3 , 1 , 6 , 8 , 9 
87,"students at a school were on average 180 cm tall . the average female height was 170 cm , and the average male height was 184 cms . what was the ratio f of men to women ?",a,general, 5 : 2 , 5 : 1 , 4 : 3 , 4 : 1 , 3 : 1 
88,"average monthly income of a family of 3 earning members was rs . 735 . one of the earning members died and therefore , the average income came down to rs 650 . the income of the deceased was ?",b,general, rs . 692.80 , rs . 905 , rs . 990 , rs . 1385 , none 
89,"a committee is reviewing a total of 20 x black - and - white films and 6 y color films for a festival . if the committee selects y / x % of the black - and - white films and all of the color films , what fraction x of the selected films are in color ?",e,general, 1 / 130 , 1 / 5 , 3 / 13 , 10 / 13 , 30 / 31 
90,"if the average ( arithmetic mean ) of x + 1 , x + 4 , and x + 7 is 0 , then x =",a,general, – 4 , – 3 , – 2 , – 1 , 0 
91,"for how many integers pair ( x , y ) satisfies the result ( 1 / x ) + ( ( 1 / y ) = 1 / 16",e,general, a ) 12 , b ) 6 , c ) 10 , d ) 16 , e ) 19 
92,"of the female students at barkely university , 3 / 5 are on the honor roll . of the male students , 2 / 5 are on the honor roll . if 5 / 9 of the students are female , what fraction of all the students are on the honor roll ?",c,general, 5 / 9 , 3 / 15 , 23 / 45 , 43 / 60 , 53 / 90 
93,"a certain clock marks every hour by striking a number of times equal to the hour , and the time require for a stroke is exactly equal to the time interval between strokes . at 6 : 00 the time lapse between the beginning of the first stoke and the end of the last stroke is 22 seconds . at 7 : 00 , how many seconds elapse between the beginning of the first stroke and the end of the last stroke ?",a,general, 26 , 29 , 19 , 30 , 40 
94,"if n is a prime number greater than 5 , what is the remainder when n ^ 2 is divided by 23 ?",d,general, 0 , 1 , 2 , 3 , 5 
95,the sum of all solutions for x in the equation x ^ 2 – 8 x + 21 = | x – 2 | + 5 is equal to :,e,general, – 7 , 7 , 10 , 12 , 18 
96,"the price of commodity x increases by 30 cents every year , while the price of commodity y increases by 20 cents every year . if in 2001 , the price of commodity x was $ 4.20 and the price of commodity y was $ 4.40 , in which year will commodity x cost 40 cents more than the commodity y ?",a,general, 2007 , 2008 , 2009 , 2010 , 2011 
97,what is the remainder when 1034 * 1047 * 1050 * 1053 is divided by 33 ?,a,general, 0 , 27 , 30 , 21 , 18 
98,1 / 0.04 is equal to,c,general, 25.5 , 2.5 , 25 , . 25 , none of these 
99,"if an integer n is to be chosen at random from the integers 1 to 92 , inclusive , what is the probability that n ( n + 1 ) ( n + 2 ) will be divisible by 8 ?",d,general, 1 / 4 , 3 / 8 , 1 / 2 , 29 / 46 , 3 / 4 
100,"on dividing a number by 56 , we get 27 as remainder . on dividing the same number by 8 , what will be the remainder ?",b,general, 2 , 3 , 4 , 5 , 6 
101,"a , b and c have rs . 300 between them , a and c together have rs . 200 and b and c rs . 350 . how much does c have ?",a,general, a ) 250 , b ) 249 , c ) 248 , d ) 247 , e ) 246 
102,"united telephone charges a base rate of $ 7.00 for service , plus an additional charge of $ 0.25 per minute . atlantic call charges a base rate of $ 12.00 for service , plus an additional charge of $ 0.20 per minute . for what number of minutes would the bills for each telephone company be the same ?",b,general, 200 minutes , 100 minutes , 120 minutes , 140 minutes , 160 minutes 
103,how many gallons of milk that is 10 percent butter - fat must be added to 8 gallons of milk that is 50 percent butterfat to obtain milk that is 20 percent butterfat ?,d,general, 6 , 12 , 14 , 24 , 28 
104,"a certain family has 3 sons : richard is 6 years older than david , and david is 8 years older than scott . if in 8 years , richard will be twice as old as scott , then how old was david 3 years ago ?",a,general, 11 , 10 , 12 , 14 , 16 
105,"if 60 % of ( x - y ) = 20 % of ( x + y ) , then what percent of x is y ?",a,general, 50 % , 44.4 % , 22.2 % , 33.3 % , 25 % 
106,"how many even integers n , such that 20 < = n < = 220 are of the form 3 k + 4 , where k is any natural number ?",c,general, 28 , 31 , 34 , 37 , 40 
107,"of the final grades received by the students in a certain math course , 1 / 5 are a ' s , 1 / 4 are b ' s , 1 / 2 are c ' s , and the remaining 20 grades are d ' s . what is the number of students in the course ?",e,general, 80 , 110 , 160 , 200 , 400 
108,set a consists of all the prime numbers between 62 and 85 . what is the range of set a ?,d,general, 12 , 13 , 16.6 , 16 , 23 
109,"s ( n ) is a n - digit number formed by attaching the first n perfect squares , in order , into one integer . for example , s ( 1 ) = 1 , s ( 2 ) = 14 , s ( 3 ) = 149 , s ( 4 ) = 14916 , s ( 5 ) = 1491625 , etc . how many digits w are in s ( 99 ) ?",b,general, w = 350 , w = 353 , w = 354 , 356 , 357 
110,"a certain car traveled twice as many miles from town a to town b as it did from town b to town c . from town a to town b , the car averaged 8 miles per gallon , and from town b to town c , the car averaged 18 miles per gallon . what is the average miles per gallon that the car achieved on its trip from town a through town b to town c ?",b,general, 13 , 15.5 , 14 , 14.5 , 15 
111,the total age of a and b is 10 years more than the total age of b and c . c is how many years younger than a . ?,c,general, 16 , 12 , 10 , 20 , 10 
112,the average runs of a cricket player of 8 innings was 24 . how many runs must he make in his next innings so as to increase his average of runs by 8 ?,d,general, 12 , 42 , 64 , 96 , 84 
113,a number consists of 3 digits whose sum is 10 . the middle digit is equal to the sum of the other two and the number will be increased by 99 if its digits are reversed . the number is :,b,general, 251 , 253 , 255 , 257 , 260 
114,"if 213 × 16 = 3408 , then 1.6 × 213.0 is equal to :",d,general, 0.3408 , 3.408 , 34.08 , 340.8 , none of these 
115,"{ 5 , 6 , 3 , 8 , 4 } if we want to get the median value of the set to be 10 which value should be inserted in the set of 5 values ?",b,general, 5 , 7 , 15 , 12 , 13 
116,a positive number when decreased by 4 is equal to 21 times the reciprocal of the number . the number is,c,general, 3 , 5 , 7 , 9 , 12 
117,how many positive even integers less than 100 contain digits 7 or 9 ?,e,general, 16 , 17 , 18 , 19 , 10 
118,"the “ length of integer x ” refers to the number of prime factors , not necessarily distinct , that x has . ( if x = 60 , the length of x would be 4 because 60 = 2 × 2 × 3 × 5 . ) what is the greatest possible length of integer z if z < 3000 ?",c,general, 7 , 9 , 11 , 13 , 15 
119,what is ( 19 ^ 7 + 19 ) / 19 ?,c,general, 45225766 , 46855821 , 47045882 , 48925947 , 49325989 
120,"a certain galaxy is known to comprise approximately 6 x 10 ^ 11 stars . of every 50 million of these stars , one is larger in mass than our sun . approximately how many stars in this galaxy are larger than the sun ?",d,general, 800 , 1, 8, 12, 80
121,what is the remainder when 4 ^ 381 is divided by 5 ?,e,general, 0 , 1 , 2 , 3 , 4 
122,"a = { 0 , 1 , - 3 , 6 , - 8 } b = { - 1 , 2 , - 4 , 7 } if a is a number that is randomly selected from set a , and b is a number that is randomly selected from set b , what is the probability that ab > 0 ?",c,general, 1 / 4 , 1 / 3 , 2 / 5 , 4 / 9 , 1 / 2 
123,"for the positive integers x , x + 2 , x + 4 , x + 7 , and x + 17 , the mean is how much greater than the median ?",c,general, 0 , 1 , 2 , 4 , 7 
124,how many 4 - digit positive integers are multiple of each integer from 1 to 10,b,general, 1520 , 2520 , 3520 , 5140 , 7660 
125,jar y has 10 % more marbles than jar x . what percent of marbles from jar y need to be moved into x so that both jars have equal marbles,a,general, 4.54 % , 9.09 % , 10 % , 11 % , 12.25 % 
126,sum of two numbers is 10 . two times of the first exceeds by 5 from the three times of the other . then the numbers will be ?,a,general, a ) 7 , b ) 9 , c ) 11 , d ) 13 , e ) 15 
127,"an employee ’ s annual salary was increased $ 5,000 . if her new annual salary now equals $ 25000 what was the percent increase ?",b,general, 15 % , 80 % , 20 % , 22 % , 24 % 
128,the price of a cycle is reduced by 25 per cent . the new price is reduced by a further 50 per cent . the two reductions together are equal to a single reduction of,b,general, 45 % , 62.5 % , 35 % , 32.5 % , 30 % 
129,"if x and y are integers and | x - y | = 11 , what is the minimum possible value of xy ?",d,general, - 10 , - 18 , - 28 , - 30 , - 32 
130,"shreehari has 125 pencils . there are 25 students are studying in his class . he would like to give each student the same amount of pencils , how much should he give to each student ?",c,general, 12 , 7 , 5 , 15 , 6 
131,what is the value of 3 x ^ 2 − 1.8 x + 0.5 for x = 0.6 ?,e,general, − 0.3 , 0 , 0.3 , 1.08 , 0.5 
132,"there are 17 teams in the hockey league , and each team faces all the other teams 10 times each . how many games are played in the season ?",c,general, 980 , 1150 , 1360 , 1540 , 1720 
133,"if n = 8 ^ 9 – 8 , what is the units digit of n ?",b,general, 4 , 0 , 1 , 2 , 3 
134,"a , b , c subscribe rs . 50,000 for a business . if a subscribes rs . 4000 more than b and b rs . 5000 more than c , out of a total profit of rs . 40,000 , what will be the amount a receives ?",c,general, 14700 , 14500 , 16800 , 14300 , 14000 
135,"30 carrots on a scale weigh 5.94 kg . when 3 carrots are removed from the scale , the average weight of the 27 carrots is 200 grams . what is the average weight ( in grams ) of the 3 carrots which were removed ?",d,general, 165 , 170 , 175 , 180 , 185 
136,"two trains start at same time from two stations and proceed towards each other at the rate of 20 km / hr and 25 km / hr respectively . when they meet , it is found that one train has traveled 75 km more than the other . what is the distance between the two stations ?",b,general, 540 km , 675 km , 276 km , 178 km , 176 km 
137,what is the smallest positive integer x such that 120 - x is the cube of a positive integer ?,c,general, 10 , 6 , 5 , 0 , 1 
138,"two ants , arthur and amy , have discovered a picnic and are bringing crumbs back to the anthill . amy makes twice as many trips and carries one and a half times as many crumbs per trip as arthur . if arthur carries a total of c crumbs to the anthill , how many crumbs will amy bring to the anthill , in terms of c ?",e,general, x / 2 , x , 3 x / 2 , 2 x , 3 x 
139,"in a mayoral election , candidate x received 2 / 3 more votes than candidate y , and candidate y received 1 / 3 fewer votes than z . if z received 27,000 votes how many votes did candidate x received ?",e,general, 18000 , 22000 , 24000 , 26000 , 30000 
140,three numbers are in the ratio 4 : 5 : 6 and their average is 36 . the largest number is :,c,general, 28 , 32 , 43.2 , 42 , 45 
141,how many integers from 0 to 50 inclusive have a remainder of 3 when divided by 8 ?,b,general, 5 , 6 , 7 , 8 , 9 
142,"two brothers took the gmat exam , the higher score is x and the lower one is y . if the difference between the two scores is 1 / 5 , what is the value of x / y ?",b,general, 3 . , 5 , 1 / 2 . , 1 / 3 . , there is n ' t enough data to answer the question . 
143,"the average weight of 20 persons sitting in a boat had some value . a new person added to them whose weight was 47 kg only . due to his arrival , the average weight of all the persons decreased by 5 kg . find the average weight of first 20 persons ?",d,general, 55 , 56 , 57 , 58 , 59 
144,what is the difference between the c . i . on rs . 8000 for 1 1 / 2 years at 4 % per annum compounded yearly and half - yearly ?,a,general, s . 3.26 , s . 2.08 , s . 2.02 , s . 2.83 , s . 2.42 
145,"the number of timeshare condos available at sunset beach is 2 / 5 the number of timeshare condos available at playa del mar . if the total number of timeshare condos available at the two beaches combined is 210 , what is the difference between the number of condos available at sunset beach and the number of condos available at playa del mar ?",b,general, 60 , 90 , 120 , 150 , 240 
146,"on dividing 13698 by a certain number , we get 89 as quotient and 14 as remainder . what is the divisor ?",b,general, 743 , 154 , 852 , 741 , 785 
147,"a store owner estimates that the average price of type a products will increase by 30 % next year and that the price of type b products will increase by 10 % next year . this year , the total amount paid for type a products was $ 4500 and the total price paid for type b products was $ 8300 . according to the store owner ' s estimate , and assuming the number of products purchased next year remains the same as that of this year , how much will be spent for both products next year ?",a,general, $ 14, $ 15, $ 16, $ 16, $ 17
148,"a father said his son , ` ` i was as old as you are at present at the time of your birth . ` ` if the father age is 38 now , the son age 5 years back was",a,general, 14 , 17 , 11 , 19 , 99 
149,"the number of people who purchased book a is twice the number of people who purchased book b . the number of people who purchased both books a and b is 500 , which is twice the number of people who purchased only book b . what is the number of people x who purchased only book a ?",d,general, 250 , 500 , 750 , 1000 , 1500 
150,"cereal a is 10 % sugar by weight , whereas healthier but less delicious cereal b is 3 % sugar by weight . to make a delicious and healthy mixture that is 4 % sugar , what should be the ratio of cereal a to cereal b , by weight ?",c,general, 2 : 9 , 2 : 7 , 1 : 6 , 1 : 4 , 1 : 3 
151,"in a certain game , each player scores either 2 points or 5 points . if n players score 2 points and m players score 5 points , and the total number of points scored is 50 , what is the least possible positive e difference between n and m ?",b,general, 1 , 3 , 5 , 7 , 9 
152,"4 years ago , paula was 4 times as old as karl . in 4 years , paula will be twice as old as karl . what is the sum of their ages now ?",d,general, 22 , 24 , 26 , 28 , 30 
