,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
115,"if 2 pipes take an hour to fill a tank , then how long should 8 pipes take to fill the same tank ?",c,physics, 20 min , 10 min , 15 min , 25 min , 30 min 
116,"worker a takes 4 hours to do a job . worker b takes 10 hours to do the same job . how long it take both a & b , working together but independently , to do the same job ?",c,physics, 20 / 9 , 40 / 9 , 40 / 14 , 60 / 9 , 80 / 9 
117,express a speed of 30 kmph in meters per second ?,b,physics, 10 mps , 8 mps , 9 mps , 7 mps , 12 mps 
118,"a boat running up stram takes 6 hours to cover a certain distance , while it takes 9 hours to cover the same distance running down stream . what is the ratio between the speed of the boat and the speed of water current respectively ?",b,physics, 2 : 3 , 5 : 1 , 4 : 5 , 7 : 1 , 8 : 1 
119,someone on a skateboard is traveling 13 miles per hour . how many feet does she travel in 25 seconds ? ( 1 mile = 5280 feet ),a,physics, 476.75 ft , 450 ft , 480 ft , 490 ft , 500 ft 
120,a train speeds past a pole in 15 seconds and a platform 100 m long in 40 seconds . its length is ?,d,physics, 188 m , 876 m , 251 m , 100 m , 145 m 
121,a train running at the speed of 30 km / hr crosses a pole in 12 seconds . what is the length of the train ?,d,physics, 70 , 80 , 90 , 100 , 110 
122,two stations p and q are 65 km apart on a straight track . one train starts from p at 7 a . m . and travels towards q at 20 kmph . another train starts from q at 8 a . m . and travels towards p at a speed of 25 kmph . at what time will they meet ?,a,physics, 9 am , 12 am , 10.30 am , 12.30 am , 11 am 
123,"working individually , emma can wrap presents for 6 hours and troy can wrap presents in 8 hours . if emma and troy work together but independently at the task for 2 hours , at which point troy leaves , how many remaining hours will it take emma to complete the task alone ?",a,physics, 30 / 12 , 5 / 12 , 3 / 4 , 2 / 12 , 3 / 5 
124,"the length of a rectangular plot is 20 metres more than its breadth . if the cost of fencing the plot @ rs . 26.50 per metre is rs . 8480 , what is the length of the plot in metres ?",d,physics, 20 , 200 , 300 , 90 , 140 
125,"a certain electric - company plan offers customers reduced rates for electricity used between 8 p . m . and 8 a . m . weekdays and 24 hours a day saturdays and sundays . under this plan , the reduced rates z apply to what fraction of a week ?",c,physics, 1 / 2 , 5 / 8 , 9 / 14 , 16 / 21 , 9 / 10 
126,"two trains 121 meters and 165 meters in length respectively are running in opposite directions , one at the rate of 75 km and the other at the rate of 65 kmph . in what time will they be completely clear of each other from the moment they meet ?",d,physics, 7.19 , 7.17 , 7.2 , 7.35 , 7.11 
127,"at a certain resort , each of the 39 food service employees is trained to work in a minimum of 1 restaurant and a maximum of 3 restaurants . the 3 restaurants are the family buffet , the dining room , and the snack bar . exactly 19 employees are trained to work in the family buffet , 18 are trained to work in the dining room , and 12 are trained to work in the snack bar . if 4 employees are trained to work in exactly 2 restaurants , how many employees are trained to work in all 3 restaurants ?",b,physics, 2 , 3 , 4 , 5 , 6 
128,a train is 700 meter long is running at a speed of 21 km / hour . in what time will it pass a bridge of 130 meter length ?,a,physics, 142.286 , 251.228 , 34 , 200 , 150.627 
129,a train passes a station platform in 42 sec and a man standing on the platform in 12 sec . if the speed of the train is 54 km / hr . what is the length of the platform ?,b,physics, 227 , 450 , 460 , 480 , 171 
130,how many pieces of 75 cm can be cut from a rope 45 meters long ?,c,physics, 30 , 40 , 60 , none , can not be determined 
131,"a alone can finish a work in 10 days which b alone can finish in 15 days . if they work together and finish it , then out of a total wages of rs . 3100 , a will get :",c,physics, rs . 1200 , rs . 1500 , rs . 1860 , rs . 2000 , none of these 
132,"while driving from a - ville to b - town , harriet drove at a constant speed of 110 kilometers per hour . upon arriving in b - town , harriet immediately turned and drove back to a - ville at a constant speed of 140 kilometers per hour . if the entire trip took 5 hours , how many minutes did it take harriet to drive from a - ville to b - town ?",e,physics, 138 , 148 , 150 , 162 , 168 
133,"the dimensions of an open box are 50 cm , 40 cm and 23 cm . its thickness is 2 cm . if 1 cubic cm of metal used in the box weighs 0.5 gms , find the weight of the box .",a,physics, 8.04 kg', 8.14 kg', 8.24 kg', 9.04 kg', none of these'] 
134,two goods trains each 680 m long are running in opposite directions on parallel tracks . their speeds are 45 km / hr and 30 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,b,physics, 228 , 65.28 , 48.32 , 27 , 21.1 
135,"an aeroplane covers a certain distance of 420 kmph in 6 hours . to cover the same distance in 4 2 / 3 hours , it must travel at a speed of ?",d,physics, 450 km , 480 km , 500 km , 540 km , 590 km 
136,"a boat running up stram takes 5 hours to cover a certain distance , while it takes 8 hours to cover the same distance running down stream . what is the ratio between the speed of the boat and the speed of water current respectively ?",e,physics, 2 : 3 , 5 : 6 , 4 : 5 , 7 : 1 , 13 : 3 
137,"a man rows his boat 70 km downstream and 45 km upstream , taking 2 1 / 2 hours each time . find the speed of the stream ?",c,physics, 1 kmph , 6 kmph , 5 kmph , 8 kmph , 7 kmph 
138,a train passes a station platform in 48 sec and a man standing on the platform in 40 sec . if the speed of the train is 36 km / hr . what is the length of the platform ?,a,physics, 80 , 120 , 60 , 90 , 50 
139,"the inner circumference of a circular race track , 14 m wide , is 440 m . find radius of the outer circle ?",d,physics, 22 , 37 , 87 , 84 , 82 
140,"how many cuboids of length 5 m , width 2 m and height 3 m can be farmed from a cuboid of 18 m length , 15 m width and 2 m height .",e,physics, 10 , 12 , 15 , 16 , 18 
