,Problem,correct,category,option_a,option_b,option_c,option_d,option_e
38,"in an electric circuit , two resistors with resistances m and n are connected in parallel . in this case , if p is the combined resistance of these two resistors , then the reciprocal of p is equal to the sum of the reciprocals of m and n . what is p in terms of m and n ?",b,geometry, ( n - m )', mn / ( m + n )', ( nm )', ( n - m ) / ( m + n )', none of these'] 
39,"an order was placed for a carpet whose length and width were in the ratio of 3 : 2 . subsequently , the dimensions of the carpet were altered such that its length and width were in the ratio 1 : 1 but were was no change in its perimeter . what is the ratio of the areas of the carpets ?",e,geometry, 4 : 5 , 9 : 10 , 14 : 15 , 19 : 20 , 24 : 25 
40,"a circular swimming pool is surrounded by a concrete wall 4 ft wide . if the area of the concrete wall surrounding the pool is 11 / 25 that of the pool , then the radius of the pool is ?",b,geometry, 22 , 20 , 88 , 387 , 19 
41,a certain rectangular crate measures 12 feet by 16 feet by 18 feet . a cylindrical gas tank is to be made for shipment in the crate and will stand upright when the crate is placed on one of its six faces . what should the radius of the tank be if it is to be of the largest possible volume ?,d,geometry, 4', 5', 6', 8', 10'] 
42,the length of a rectangular plot is 10 mtr more than its width . the cost of fencing the plot along its perimeter at the rate of rs . 6.5 mtr is rs . 910 . the perimeter of the plot is ?,d,geometry, 126 , 156 , 190 , 140 , 260 
43,what will be the ratio between the area of a rectangle and the area of a triangle with one of the sides of rectangle as base and a vertex on the opposite side of rectangle .,b,geometry, 1 : 2 , 2 : 1 , 3 : 1 , data inadequate , none of these 
44,a man walking at the rate of 6 km per hour crosses a square field diagonally in 9 seconds the area of the field is,c,geometry, 110 sq . m', 111.5 aq . m', 112.5 sq . m', 114 sq . m', none of these'] 
45,the area of a triangle is with base 4 m and height 5 m ?,b,geometry, 11', 10', 99', 17', 12'] 
46,"if a square mirror has a 20 - inch diagonal , what is the approximate perimeter e of the mirror , in inches ?",b,geometry, 40', 60', 80', 100', 120'] 
47,the side of a square is increased by 25 % then how much % does its area increases ?,b,geometry, 56.28 , 56.25 , 56.2 , 56.24 , 56.21 
48,"hall is 15 m long and 12 m broad . if the sum of the areas of the floor and the ceiling is equal to the sum of the areas of four walls , the volume of the hall is :",c,geometry, 720', 900', 1200', 1800', 2100'] 
49,"abcd is a square . f and e are the midpoints of sides ad and cd , respectively . the area of triangle fed is 2 square inches . what is the area of square abcd ( in square inches ) ?",c,geometry, 4', 8', 16', 32', 64'] 
50,"the length of a rectangular plot is thrice its breadth . if the area of the rectangular plot is 972 sq m , then what is the breadth of the rectangular plot ?",c,geometry, 16 , 17 , 18 , 19 , 14 
51,what is the area of a square field whose diagonal of length 24 m ?,a,geometry, 240 sq m , 250 sq m , 200 sq m , 400 sq m , 800 sq m 
52,"if the radius of a circle is increased by 12 % , then the area of the circle",b,geometry, decreases by 25.44 %', increases by 25.44 %', no change in area', decreases by 12 %', none'] 
53,what is the area of a square field whose sides have a length of 12 meters ?,c,geometry, 225 sq m , 126 sq m , 144 sq m , 267 sq m , 231 sq m 
54,"108 . triangle a ’ s base is 9 % greater than the base of triangle b , and a ’ s height is 9 % less than the height of triangle b . the area of triangle a is what percent less or more than the area of triangle b ?",d,geometry, 9 % less , 1 % less , equal to each other , 1.3 % more , 9 % more 
55,"in a rectangular coordinate system , what is the area of a rhombus whose vertices have the coordinates ( 0 , 3.5 ) , ( 7 , 0 ) , ( 0 , - 3.5 ) , ( - 7 , 0 ) ?",d,geometry, 56 , 88 , 112 , 49 , 120 
56,"if two sides of a triangle are 6 and 13 , respectively , which of the following could not be the area of this triangle ?",a,geometry, 40', 6', 17', 29', 38'] 
57,the surface area of a sphere is same as the curved surface area of a right circular cylinder whose height and diameter are 6 cm each . the radius of the sphere is,a,geometry, 3 cm , 4 cm , 6 cm , 8 cm , none 
58,the area of a triangle is with base 8 m and height 4 m ?,c,geometry, 88 m 2 , 10 m 2 , 16 m 2 , 77 m 2 , 31 m 2 
59,"a cylinder with 6 meter radius and 12 meter height is filled to capacity with water . if the content of the cylinder is used to fill several smaller cylinders of 4 meter diameter and 8 meter height , how many smaller cylinders will be filled to capacity ?",a,geometry, 13', 12', 4', 16', 18'] 
60,"a rectangular garden is to be twice as long as it is wide . if 900 yards of fencing , including the gate , will completely enclose the garden , what will be the length of the garden , in yards ?",e,geometry, 40 , 50 , 60 , 200 , 300 
61,what is the smallest positive integer x such that 864 x is the cube of a positive integer,e,geometry, 6 , 12 , 9 , 5 , 2 
62,what is the area of an equilateral triangle whose one side length is 80 ?,e,geometry, 800 √ 3 , 1000 √ 3 , 1200 √ 3 , 1400 √ 3 , 1600 √ 3 
63,"if each edge of a cube is doubled , then its volume :",a,geometry, becomes 8 times', becomes 9 times', is double', becomes 6 times', none'] 
64,carmen made a sculpture from small pieces of wood . the sculpture is 2 feet 10 inches tall . carmen places her sculpture on a base that is 4 inches tall . how tall are the sculpture andbase together ?,a,geometry, 3.17 feet', 3.2 feet', 3.3 feet', 3.4 feet', 3.5 feet'] 
65,"if the space diagonal of cube c is 5 inches long , what is the length , in inches , of the diagonal of the base of cube c ?",b,geometry, 5 / ( √ 6 )', 5 · √ ( 2 / 3 )', 5 · √ ( 3 / 2 )', 5 · √ 3', 5 · √ 6'] 
66,"if a 3 cm cube is cut into 1 cm cubes , then what is the percentage increase in the surface area of the resulting cubes ?",d,geometry, 40 % , 100 % , 150 % , 200 % , 300 % 
67,if the height of a cone is increased by 190 % then its volume is increased by ?,d,geometry, 100 , 777 , 998 , 190 , 2879 
68,the parameter of a square is equal to the perimeter of a rectangle of length 16 cm and breadth 14 cm . find the circumference of a semicircle whose diameter is equal to the side of the square . ( round off your answer to two decimal places ),e,geometry, 77.14 cm', 47.14 cm', 84.92 cm', 94.94 cm', 23.57 cm'] 
69,"you buy a piece of land with an area of â ˆ š 625 , how long is one side of the land plot ?",e,geometry, 28 , 29 , 30 , 31 , 25 
70,a rectangular box 60 m long and 40 m wide has two concrete crossroads running in the middle of the box and rest of the box has been used as a lawn . the area of the lawn is 2109 sq . m . what is the width of the road ?,a,geometry, 3 m', 4 m', 5 m', 6 m', 2 m'] 
71,"in may , the grounds keeper at spring lake golf club built a circular green with an area of 25 square feet . in august , he doubled the distance from the center of the green to the edge of the green . what is the total area of the renovated green ?",a,geometry, 100 pi , 80 , 70 , 60 , 50 
72,"in the xy - plane , a triangle has vertices ( 0,0 ) , ( 4,0 ) and ( 4,10 ) . if a point ( a , b ) is selected at random from the triangular region , what is the probability that a - b > 0 ?",e,geometry, 1 / 5 , 1 / 3 , 1 / 2 , 2 / 3 , 2 / 5 
73,"right triangle pqr is the base of the prism in the figure above . if pq = pr = â ˆ š 14 and the height of the prism is 8 , what is the volume of the prism ?",d,geometry, 12 , 45 , 87 , 56 , 23 
74,a rectangular swimming pool is 20 feet by 28 feet . a deck that has uniform width surrounds the pool . the total area of the pool and deck is 884 square feet . what is the width of the deck ?,c,geometry, 2 feet , 2.5 feet , 3 feet , 4 feet , 5 feet 
75,"three table runners have a combined area of 224 square inches . by overlapping the runners to cover 80 % of a table of area 175 square inches , the area that is covered by exactly two layers of runner is 24 square inches . what is the area of the table that is covered with three layers of runner ?",e,geometry, 18 square inches , 20 square inches , 24 square inches , 28 square inches , 30 square inches 
76,"the radius of a cylinder is 8 m , height 13 m . the volume of the cylinder is :",b,geometry, 2200 , 2614.9 , 3300 , 1100 , 4400 
77,tough and tricky questions : number properties . what is the smallest positive integer x such that 1512 x is the cube of a positive integer ?,e,geometry, 7 , 14 , 28 , 35 , 49 
78,find the area of a parallelogram with base 24 cm and height 16 cm .,b,geometry, 379 , 384 , 345 , 342 , 376 
79,"a certain cube floating in a bucket of water has between 80 and 85 percent of its volume below the surface of the water . if between 8 and 15 cubic centimeters of the cube ' s volume is above the surface of the water , then the length of a side of the cube is approximately",b,geometry, 3 , 4 , 7 , 8 , 9 
80,a circular logo is enlarged to fit the lid of a jar . the new diameter is 10 per cent larger than the original . by what percentage has the area of the logo increased ?,e,geometry, 50 , 80 , 100 , 125 , 21 
81,"a rectangular lawn of length 200 m by 120 m has two roads running along its center , one along the length and the other along the width . if the width of the roads is 5 m what is the area t covered by the two roads ?",c,geometry, 400 , 1550 , 1575 , 1600 , 1625 
82,the diagonal of a rectangle is 41 cm and its area is 20 sq . cm . the perimeter of the rectangle must be :,a,geometry, 18 cm', 28 cm', 30 cm', 38 cm', 42 cm'] 
83,the diagonals of a rhombus are 11 cm and 20 cm . find its area ?,e,geometry, 329 , 288 , 150 , 238 , 110 
84,"a metallic sheet is of rectangular shape with dimensions 48 m x 36 m . from each of its corners , a square is cut off so as to make an open box . if the length of the square is 5 m , the volume of the box ( in m 3 ) is :",a,geometry, 4940 , 5120 , 6420 , 8960 , 7960 
85,"a rectangular lawn of dimensions 80 m * 60 m has two roads each 15 m wide running in the middle of the lawn , one parallel to the length and the other parallel to the breadth . what is the cost of traveling the two roads at rs . 3 per sq m ?",e,geometry, a ) 3820 , b ) 930 , c ) 9309 , d ) 3900 , e ) 5625 
86,what is the area of square field whose side of length 8 m ?,b,geometry, 225 , 64 , 772 , 882 , 21 
87,the area of a square is equal to five times the area of a rectangle of dimensions 36 cm * 20 cm . what is the perimeter of the square ?,d,geometry, 289 cm , 800 cm , 829 cm , 240 cm , 289 cm 
88,"each of the 39 points is placed either inside or on the surface of a perfect sphere . if 72 % or fewer of the points touch the surface , what is the maximum number of segments which , if connected from those points to form chords , could be the diameter of the sphere ?",d,geometry, 7 , 11 , 13 , 14 , 38 
89,"in the coordinate plane , one of the vertices of a square is the point ( - 4 , - 4 ) . if the diagonals of that square intersect at point ( 3 , 2 ) , what is the area of that square ?",b,geometry, 180 , 196 , 160 , 164 , 172 
90,"a square mirror has exactly half the area of the rectangular wall on which it is hung . if each side of the mirror is 24 inches and the width of the wall is 42 inches , what is the length of the wall , in inches ?",e,geometry, 21.4 , 23.4 , 25.4 , 26.4 , 27.4 
91,in a certain parallelogram the degree measure of one angle exceeds that of the other by 10 what is the degree measure of the smaller angle ?,c,geometry, 75 , 80 , 85 , 90 , 95 
92,what is the area of square field whose side of length 7 m ?,e,geometry, 225 , 662 , 772 , 882 , 49 
93,"16 meters of wire is available to fence off a flower bed in the form of a circular sector . what must the radius of the circle in meters be , if we wish to have a flower bed with the greatest possible surface area ?",b,geometry, 2 √ 2 , 4 , 5 , 4 √ 2 , none of these 
94,"if each side of a rectangle is increased by 100 % , by what % the area increases ?",d,geometry, 100 %', 200 %', 250 %', 300 %', 400 %'] 
95,"if the length of a certain rectangle is decreased by 4 cm and the width is increased by 3 cm , a square with the same area as the original rectangle would result . find the perimeter of the original rectangle ?",d,geometry, 76 , 27 , 19 , 50 , 11 
96,a square carpet with an area 169 m 2 must have 2 metres cut - off one of its edges in order to be a perfect fit for a rectangular room . what is the area of rectangular room ?,d,geometry, 180 m 2', 164 m 2', 152 m 2', 143 m 2', none of these'] 
97,the edge of a cube is 5 a cm . find its surface ?,a,geometry, 150 a 2 cm 2 , 170 a 2 cm 2 , 125 a 2 cm 2 , 175 a 2 cm 2 , 120 a 2 cm 2 
98,a ring x of diameter 16 inches is placed inside another ring y of diameter of 18 inches . how much fraction of the ring x surface is not covered by the ring y ?,e,geometry, 13 / 15', 12 / 4', 16 / 17', 22 / 16', 17 / 81'] 
99,the area of a triangle is with base 4.5 m and height 6 m ?,c,geometry, 11 m 2 , 10 m 2 , 13.5 m 2 , 19 m 2 , 12.5 m 2 
100,cubes with each side one inch long are glued together to form a larger cube . the larger cube ' s face is painted with red color and the entire assembly is taken apart . 24 small cubes are found with no paints on them . how many of unit cubes have at least one face that is painted red ?,e,geometry, 64 , 72 , 86 , 98 , 101 
101,"if the sum of a number and its square is 240 , what is the number ?",a,geometry, 15 , 77 , 25 , 87 , 171 
102,the diagonals of a rhombus are 30 cm and 12 cm . find its area ?,c,geometry, 176 , 190 , 180 , 278 , 292 
103,if the sides of a cube are in the ratio 4 : 3 . what is the ratio of their diagonals ?,a,geometry, 4 : 3 , 4 : 8 , 4 : 1 , 4 : 2 , 4 : 7 
104,"two equilateral triangle of side 12 cm are placed one on top another , such a 6 pionted star is formed if the six vertices lie on a circle what is the area of the circle not enclosed by the star ?",a,geometry, 21', 88937', 269', 279', 2701'] 
105,the area of a parallelogram is 1764 sq m and its base is nine times size of the corresponding altitude . then the length of the base is ?,d,geometry, 21 , 9 , 11 , 14 , 7 
106,"paper charge is rs . 60 per kg . how much expenditure would be there to cover a cube of edge 10 m with a paper , if one kg of paper covers 20 sq . m . area ?",d,geometry, rs . 2250', rs . 3600', rs . 2700', rs . 1800', none of these'] 
107,how many odd numbers between 10 and 900 are the squares of integers ?,b,geometry, 12 , 13 , 14 , 15 , 16 
108,triangle atriangle b are similar triangles with areas 1536 units square and 1734 units square respectively . the ratio of there corresponding height would be,d,geometry, 9 : 10 , 17 : 19 , 23 : 27 , 16 : 17 , 15 : 23 
109,the radius of a cylindrical vessel is 7 cm and height is 1 cm . find the whole surface of the cylinder ?,a,geometry, 352 , 771 , 440 , 767 , 1981 
110,"what positive number , when squared , is equal to the cube of the positive square root of 17 ?",c,geometry, 64', 32', 8', 4', 2'] 
111,"rectangle a has sides a and b , and rectangle b has sides c and d . if a / c = b / d = 2 / 5 , what is the ratio of rectangle a ’ s area to rectangle b ’ s area ?",e,geometry, 2 / 5 , 2 / 25 , 5 / 2 , 5 / 4 , 4 / 25 
112,a cylinder is being filled with sand weighing 200 kg per cubic foot . the cylinder has a diameter of 1 foot and is 5 feet tall . how much sand is being used ? ?,a,geometry, 250 pi kg', 500 pi kg', 500 pi ^ 2 kg', 1000 pi kg', 1000 pi ^ 2 kg'] 
113,"find the curved surface area , if the radius of a cone is 28 m and slant height is 30 m ?",b,geometry, 2550 , 2640 , 3960 , 4280 , 5490 
114,"three table runners have a combined area of 220 square inches . by overlapping the runners to cover 80 % of a table of area 175 square inches , the area that is covered by exactly two layers of runner is 24 square inches . what is the area of the table that is covered with three layers of runner ?",d,geometry, 18 square inches , 20 square inches , 24 square inches , 28 square inches , 30 square inches 
115,an isosceles triangle with sides 13 13 10 and there is a circle inscribed it . find the radius of circle ?,b,geometry, 1.32', 3.33', 3.58', 4.34', 5.18'] 
116,the diagonals of a rhombus are 10 cm and 15 cm . find its area ?,a,geometry, 75 , 129 , 150 , 123 , 117 
117,"a rectangular floor is covered by a rug except for a strip 3 meters wide along each of the four edge . if the floor is 12 meters by 10 meters , what is the area of the rug in square meters ?",e,geometry, 30 , 28 , 36 , 42 , 24 
118,the area of a square field is 576 km 2 . how long will it take for a horse to run around at the speed of 12 km / h ?,c,geometry, 12 h , 10 h , 8 h , 6 h , none of these 
119,find the area of a rhombus whose side is 25 cm and one of the diagonals is 30 cm ?,a,geometry, 600', 881', 767', 261', 121'] 
120,"in a parallelogram , the length of one diagonal and the perpendicular dropped on that diagonal are 30 and 20 metres respectively . find its area",a,geometry, 600 m 2', 540 m 2', 680 m 2', 574 m 2', none of these'] 
121,find the area of the quadrilateral of one of its diagonals is 24 cm and its off sets 9 cm and 6 cm ?,a,geometry, 180 cm 2 , 150 cm 2 , 168 cm 2 , 198 cm 2 , 987 cm 2 
122,"a rectangular photograph is surrounded by a border that is 1 inch wide on each side . the total area of the photograph and the border is m square inches . if the border had been 4 inches wide on each side , the total area would have been ( m + 90 ) square inches . what is the perimeter of the photograph , in inches ?",a,geometry, 10 , 20 , 30 , 40 , 50 
123,what is the measure of the angle e made by the diagonals of the any adjacent sides of a cube .,c,geometry, 30', 45', 60', 75', 90'] 
124,"a rectangular photograph is surrounded by a border that is 2 inch wide on each side . the total area of the photograph and the border is m square inches . if the border had been 4 inches wide on each side , the total area would have been ( m + 94 ) square inches . what is the perimeter of the photograph , in inches ?",c,geometry, 34 , 36 , 23 , 40 , 42 
125,a square and an equilateral triangle have the same perimeter . what is the ratio of the area of the circle circumscribing the square to the area of the circle inscribed in the triangle ?,c,geometry, 9 : 8', 15 : 8', 27 : 8', 8 : 9', 8 : 15'] 
126,the area of a rectangular field is equal to 300 square meters . its perimeter is equal to 70 meters . find the width of this rectangle .,c,geometry, 5 , 10 , 15 , 20 , 25 
127,"in a rectangular coordinate system , what is the area of a rectangle whose vertices have the coordinates ( - 7 , 1 ) , ( 1 , 1 ) , ( 1 , - 6 ) and ( - 7 , - 6 ) ?",e,geometry, 112 , 64 , 42 , 24 , 56 
128,the area of a square is equal to three times the area of a rectangle of dimensions 25 cm * 27 cm . what is the perimeter of the square ?,a,geometry, 180 cm , 190 cm , 170 cm , 150 cm , 160 cm 
129,"a lady grows cauliflower in her garden that is in the shape of a square . each cauliflower takes 1 square foot of area in her garden . this year , she has increased her output by 223 cauliflower when compared to last year . the shape of the area used for growing the cauliflower has remained a square in both these years . how many cauliflowers did she produce this year ?",c,geometry, 12541', 12542', 12544', 12545', can not be determined'] 
130,the volumes of two cones are in the ratio 1 : 15 and the radii of the cones are in the ratio of 1 : 2 . what is the length of the wire ?,a,geometry, 3 : 5 , 3 : 9 , 3 : 2 , 2 : 2 , 3 : 8 
131,"if ( 20 ) ² is subtracted from the square of a number , the answer so obtained is 4321 . what is the number ?",b,geometry, 68', 69', 70', 71', 72'] 
132,"the content of several smaller cylinders ( 3 meter diameter and 6 meter height ) were to be emptied into a larger cylinder ( 20 meter diameter and 10 meter height ) , how many smaller cylinders will fill up the larger cylinder ?",d,geometry, 20', 10', 50', 74', 73'] 
133,a semicircle has a radius of 9 . what is the approximate perimeter of the semicircle ?,d,geometry, 16 , 25 , 33 , 46 , 58 
134,"the length of a rectangle is 4 times its width . if the width of the rectangle is 5 inches , what is the rectangle ' s area , in square inches ?",c,geometry, 30 square inches , 75 square inches , 100 square inches , 89 square inches , 92 square inches 
135,"in a rectangular coordinate system , what is the area of a rectangle whose vertices have the coordinates ( - 5 , 1 ) , ( 1 , 1 ) , ( 1 , - 4 ) and ( - 5 , - 4 ) ?",b,geometry, 20', 30', 40', 55', 48'] 
136,"what is the perimeter , in meters , of a rectangular garden 8 meters wide that has the same area as a rectangular playground 16 meters long and 12 meters wide ?",c,geometry, 48 , 56 , 64 , 76 , 192 
137,let the sides of a rectangular prism are consecutive multiples of 5 . which among the following could be the base area,b,geometry, 360', 450', 560', 670', 780'] 
138,"a rectangular tiled patio is composed of 30 square tiles . the rectangular patio will be rearranged so that there will be 2 fewer columns of tiles and 4 more rows of tiles . after the change in layout , the patio will still have 30 tiles , and it will still be rectangular . how many rows are in the tile patio before the change in layout ?",a,geometry, 5 , 6 , 10 , 13 , 28 
139,"the dimensions of a rectangular solid are 6 inches , 5 inches , and 8 inches . if a cube , a side of which is equal to one of the dimensions of the rectangular solid , is placed entirely within thespherejust large enough to hold the cube , what the ratio of the volume of the cube to the volume within thespherethat is not occupied by the cube ?",d,geometry, 10 : 17', 2 : 5', 5 : 16', 10 : 19', 32 : 25'] 
140,two identical circles intersect such that their centers and the points at which they intersect form a square of side 4 cm . what is the area of the region where the two circles intersect ?,d,geometry, 16 - 4 pi', 4 - pi', 2 pi - 4', 8 pi - 16', pi ^ 2 - 4'] 
141,"if the length of a rectangle is increased by 20 % and the breadth is reduced by 20 % , what will be the effect on its area ?",d,geometry, 4 % increase', 6 % increase', 5 % decrease', 4 % decrease', none of these'] 
142,"an equilateral triangle t 2 is formed by joining the mid points of the sides of another equilateral triangle t 1 . a third equilateral triangle t 3 is formed by joining the mid - points of t 2 and this process is continued indefinitely . if each side of t 1 is 50 cm , find the sum of the perimeters of all the triangles .",e,geometry, 180 cm , 220 cm , 240 cm , 270 cm , 300 cm 
143,"three walls have wallpaper covering a combined area of 300 square meters . by overlapping the wallpaper to cover a wall with an area of 180 square meters , the area that is covered by exactly two layers of wallpaper is 40 square meters . what is the area that is covered with three layers of wallpaper ?",c,geometry, 5 square meters , 36 square meters , 40 square meters , 83.3 square meters , 120 square meters 
144,"the radius of a cylinder is 8 m , height 14 m . the volume of the cylinder is :",a,geometry, 2816 , 5500 , 3300 , 1100 , 4400 
145,find the area of the quadrilateral of one of its diagonals is 26 cm and its off sets 9 cm and 6 cm ?,d,geometry, 188 cm 2 , 150 cm 2 , 168 cm 2 , 195 cm 2 , 987 cm 2 
146,the radius of a cylindrical vessel is 7 cm and height is 3 cm . find the whole surface of the cylinder ?,c,geometry, 520 sq cm', 840 sq cm', 440 sq cm', 120 sq cm', 5 sq cm'] 
147,"a rectangular garden is to be twice as long as it is wide . if 240 yards of fencing , including the gate , will completely enclose the garden , what will be the length of the garden , in yards ?",d,geometry, 40 , 50 , 60 , 80 , 100 
148,the number 90 can be written as the sum of the squares of 3 different positive integers . what is the sum of these 3 integers ?,b,geometry, 17 , 16 , 15 , 14 , 13 
